year,region,Average_Price,median_earnings,area_code,affordability_ratio
2015,South West,218950,26496,E12000009,8.26
2015,East Midlands,158962,25609,E12000004,6.21
2015,London,481806,33109,E12000007,14.55
2015,North East,116936,25232,E12000001,4.63
2015,North West,132950,25711,E12000002,5.17
2015,East of England,250225,29259,E12000006,8.55
2015,West Midlands Region,162107,25598,E12000005,6.33
2015,South East,293496,30074,E12000008,9.76
2015,Yorkshire and The Humber,136979,25114,E12000003,5.45
2016,North East,119525,25660,E12000001,4.66
2016,North West,139179,26220,E12000002,5.31
2016,Yorkshire and The Humber,143617,25947,E12000003,5.54
2016,East Midlands,168191,26554,E12000004,6.33
2016,West Midlands Region,172049,26270,E12000005,6.55
2016,East of England,273009,30000,E12000006,9.1
2016,London,505701,33694,E12000007,15.01
2016,South East,311517,30741,E12000008,10.13
2016,South West,228054,26796,E12000009,8.51
2017,West Midlands Region,182389,26843,E12000005,6.79
2017,East of England,285947,30234,E12000006,9.46
2017,London,510491,34725,E12000007,14.7
2017,South East,323152,31664,E12000008,10.21
2017,South West,240621,27533,E12000009,8.74
2017,East Midlands,178086,26556,E12000004,6.71
2017,North East,123106,26046,E12000001,4.73
2017,North West,147837,26660,E12000002,5.55
2017,Yorkshire and The Humber,149125,26293,E12000003,5.67
2018,North East,121760,26505,E12000001,4.59
2018,London,506642,35702,E12000007,14.19
2018,North West,151471,27520,E12000002,5.5
2018,Yorkshire and The Humber,152603,26894,E12000003,5.67
2018,East Midlands,184588,27606,E12000004,6.69
2018,West Midlands Region,190053,27600,E12000005,6.89
2018,East of England,287775,31000,E12000006,9.28
2018,South East,323540,32251,E12000008,10.03
2018,South West,247636,28402,E12000009,8.72
2019,North West,153685,28511,E12000002,5.39
2019,North East,122342,27251,E12000001,4.49
2019,Yorkshire and The Humber,155920,27921,E12000003,5.58
2019,East Midlands,187279,28556,E12000004,6.56
2019,West Midlands Region,189892,28278,E12000005,6.72
2019,East of England,287478,31900,E12000006,9.01
2019,London,512959,36851,E12000007,13.92
2019,South East,323702,33396,E12000008,9.69
2019,South West,247416,29282,E12000009,8.45
2020,East Midlands,201798,29417,E12000004,6.86
2020,East of England,300749,33002,E12000006,9.11
2020,London,529060,38526,E12000007,13.73
2020,South East,340233,34193,E12000008,9.95
2020,South West,266843,30172,E12000009,8.84
2020,North East,131490,27906,E12000001,4.71
2020,West Midlands Region,204521,29485,E12000005,6.94
2020,North West,169085,29523,E12000002,5.73
2020,Yorkshire and The Humber,168778,28810,E12000003,5.86
2021,East of England,319855,32053,E12000006,9.98
2021,North East,140230,27666,E12000001,5.07
2021,North West,185573,29570,E12000002,6.28
2021,Yorkshire and The Humber,180680,28974,E12000003,6.24
2021,East Midlands,218318,29161,E12000004,7.49
2021,West Midlands Region,220926,29662,E12000005,7.45
2021,London,547837,37635,E12000007,14.56
2021,South East,362713,33939,E12000008,10.69
2021,South West,285237,29534,E12000009,9.66
2022,East of England,342442,34426,E12000006,9.95
2022,North East,152252,29816,E12000001,5.11
2022,North West,200795,30883,E12000002,6.5
2022,Yorkshire and The Humber,197647,30531,E12000003,6.47
2022,East Midlands,237956,30946,E12000004,7.69
2022,West Midlands Region,239619,31416,E12000005,7.63
2022,London,572384,39497,E12000007,14.49
2022,South East,388158,35734,E12000008,10.86
2022,South West,308957,31799,E12000009,9.72
2023,North East,151215,31435,E12000001,4.81
2023,North West,200245,33127,E12000002,6.04
2023,South East,367572,37434,E12000008,9.82
2023,Yorkshire and The Humber,192662,32075,E12000003,6.01
2023,East Midlands,229757,32611,E12000004,7.05
2023,West Midlands Region,234452,33351,E12000005,7.03
2023,East of England,326075,36538,E12000006,8.92
2023,London,549112,42083,E12000007,13.05
2023,South West,294676,34140,E12000009,8.63
2024,North East,158239,33380,E12000001,4.74
2024,North West,207855,35304,E12000002,5.89
2024,Yorkshire and The Humber,201768,34723,E12000003,5.81
2024,East Midlands,238265,34834,E12000004,6.84
2024,West Midlands Region,241469,35000,E12000005,6.9
2024,London,557768,44796,E12000007,12.45
2024,South East,379406,40350,E12000008,9.4
2024,South West,300631,36109,E12000009,8.33
2024,East of England,333158,39098,E12000006,8.52
